,Position,Artists,Songs,Genre,Danceability,Energy,Duration
58,59,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,"['contemporary country', 'country', 'country road']",0.509,0.493,173.96095
59,60,Young T & Bugsey Featuring Headie One,Don't Rush,"['afroswing', 'uk drill', 'uk hip hop']",0.961,0.461,207.64
60,61,Marshmello & Halsey,Be Kind,"['brostep', 'pop', 'progressive electro house']",0.63,0.633,172.76154
61,62,Juice WRLD,Titanic,"['chicago rap', 'melodic rap']",0.568,0.545,176.64984
62,63,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,"['dance pop', 'pop', 'pop rap']",0.894,0.635,249.14285
63,64,Juice WRLD,Stay High,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",0.736,0.677,258.38666
64,65,Kane Brown With Swae Lee & Khalid,Be Like That,"['contemporary country', 'country road']",0.727,0.626,191.4063
65,66,Saweetie,Tap In,"['cali rap', 'pop', 'pop rap', 'post-teen pop', 'trap queen']",0.954,0.696,139.41324
66,67,Keith Urban,God Whispered Your Name,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",0.594,0.6,232.16508
67,68,Juice WRLD,Bad Energy,"['chicago rap', 'melodic rap']",0.654,0.452,186.74911
68,69,Lee Brice,One Of Them Girls,"['contemporary country', 'country', 'country road', 'modern country rock']",0.643,0.79,188.8933
69,70,Pop Smoke Featuring Lil Tjay,Mood Swings,['brooklyn drill'],0.48,0.602,213.33333
70,71,Justin Moore,Why We Drink,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",0.624,0.903,211.43034
71,72,Luke Combs,Lovin' On You,['contemporary country'],0.572,0.949,194.86667
72,73,Kane Brown,Cool Again,"['alternative r&b', 'electropop', 'indie cafe pop', 'indie poptimism', 'indie r&b', 'indietronica', 'la pop', 'pop', 'tropical house']",0.803,0.449,191.93515
73,74,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,[],0.716,0.537,165.97778
74,75,Pop Smoke,Something Special,['brooklyn drill'],0.739,0.616,158.46613
