,Artists,artist_uri,Songs,danceability,energy,genre
59,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Peggy Sang The Blues - Acoustic,0.668,0.422,['folk punk']
60,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,I Still Believe - Acoustic,0.537,0.522,['folk punk']
61,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,I Am Disappeared - Acoustic,0.618,0.427,['folk punk']
62,Local Natives,spotify:artist:75dQReiBOHN37fQgWQrIAJ,Ultralight Beam - Spotify Session,0.503,0.0971,"['chamber pop', 'electropop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'rock', 'shimmer pop', 'stomp and holler', 'vapor soul']"
63,T-Pain,spotify:artist:3aQeKQSyrW4qWr35idm0cy,5 O'Clock (feat. Lily Allen & Wiz Khalifa),0.4,0.882,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
64,State Champs,spotify:artist:1qqdO7xMptucPDMopsOdkr,Stitches,0.449,0.891,"['anthem emo', 'pixie', 'pop punk']"
65,Dance Gavin Dance,spotify:artist:6guC9FqvlVboSKTI77NG2k,That’s What I Like,0.524,0.931,"['metalcore', 'pixie', 'pop punk', 'sacramento indie', 'screamo', 'swancore']"
66,New Years Day,spotify:artist:7IEyUxk8jyEVz9Zm9H8bfg,Gangsta,0.453,0.939,"['candy pop', 'pixie', 'pop emo', 'slayer']"
67,The Amity Affliction,spotify:artist:6kNKUYGn6VNGsRoXmyoDPK,Can’t Feel My Face,0.234,0.863,"['australian metalcore', 'melodic metalcore', 'metalcore']"
68,Andy Black,spotify:artist:09NYzWfQlunWS3XBZFaDEC,When We Were Young,0.378,0.646,['pixie']
69,Grayscale,spotify:artist:6Xq9CIMYWK4RCrMVtfEOM0,Love Yourself,0.599,0.901,"['anthem emo', 'pop punk']"
70,Capsize,spotify:artist:3Nt2h0gWNi9cxuLeNjOsET,Fake Love,0.327,0.957,['melodic hardcore']
71,Boston Manor,spotify:artist:4WjeQi9wm84lYTIWZ95QoM,Heathens,0.343,0.916,"['alternative emo', 'anthem emo', 'modern alternative rock', 'modern rock', 'pop punk', 'uk pop punk']"
72,Eat Your Heart Out,spotify:artist:1Zj2DULoJ6vo0FZ2R8HM3i,Shape Of You,0.552,0.972,"['anthem emo', 'pixie', 'pop emo', 'pop punk']"
73,The Plot In You,spotify:artist:1cJ5tVoeAEFcZBAwSZ0CtF,Let It Go,0.675,0.446,"['melodic metalcore', 'metalcore', 'post-screamo']"
74,Ice Nine Kills,spotify:artist:52qKfVcIV4GS8A8Vay2xtt,I Don’t Wanna Live Forever,0.504,0.902,"['alternative metal', 'melodic metalcore', 'metalcore', 'post-screamo', 'screamo']"
75,Seaway,spotify:artist:0JXDwBs1sEp6UKoAP58UdF,Closer,0.593,0.505,"['alternative emo', 'anthem emo', 'canadian pop punk', 'canadian punk', 'easycore', 'pop punk']"
76,Too Close To Touch,spotify:artist:2XziUthG3Ug3eiWuE5KRsp,In The Name Of Love,0.331,0.888,"['christian rock', 'metalcore', 'post-screamo']"
77,Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,Corcovado,0.467,0.554,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']"
78,J. Pereira,spotify:artist:29bKEtqeTcBlIMN315PJAI,Falsa Bahiana,0.61,0.554,[]
79,Vinícius,spotify:artist:5b2ylVrhm7GKFoUjuNk1Op,Garota De Ipanema,0.623,0.609,[]
