,Artists,artist_uri,Songs,danceability,energy,genre
127,ANAVITÓRIA,spotify:artist:1sPg5EHuQXTMElpZ4iUgXe,Trevo (Tu),0.668,0.372,"['folk brasileiro', 'nova mpb', 'pop nacional', 'portuguese pop']"
128,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Intro,0.46,0.315,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
129,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Random,0.607,0.783,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
130,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,"Me, Myself & I",0.757,0.672,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
131,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,One Of Them (feat. Big Sean),0.597,0.724,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
132,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Drifting (feat. Chris Brown & Tory Lanez),0.523,0.757,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
133,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Of All Things (feat. Too $hort),0.74,0.483,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
134,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Order More (feat. Starrah),0.895,0.437,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
135,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Calm Down,0.537,0.624,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
136,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Don't Let Me Go (feat. SAYGRACE),0.35,0.65,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
137,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,You Got Me,0.745,0.635,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
138,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,What If (feat. Gizzle),0.519,0.528,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
139,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Some Kind Of Drug (feat. Marc E. Bassy),0.586,0.525,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
140,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Think About You (feat. Quiñ),0.725,0.489,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
141,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Everything Will Be OK (feat. Kehlani),0.567,0.539,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
142,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,For This (feat. IAMNOBODI),0.753,0.591,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
143,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Nothing to Me (feat. Keyshia Cole & E-40),0.553,0.596,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
144,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,爛泥,0.708,0.734,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
145,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,勇敢的人,0.719,0.557,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
146,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,大風吹,0.523,0.543,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
147,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,等,0.455,0.929,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
